Price,Close,High,Low,Open,Volume
Ticker,HBL.KA,HBL.KA,HBL.KA,HBL.KA,HBL.KA
Date,,,,,
2025-03-10,146.19091796875,147.19388113052295,142.7734264578343,143.9249657333018,1360061
2025-03-11,144.54718017578125,147.64894231510738,143.9528331747179,146.729555819721,785703
2025-03-12,145.19725036621094,146.72026534979565,144.4543131173124,144.54717141695636,766770
2025-03-13,146.1352081298828,149.2833923218309,145.3365530224979,145.68945142377385,1196969
2025-03-14,146.17234802246094,147.54678696375402,145.53157895956704,146.72027295125014,381403
2025-03-17,145.5424346923828,146.88818285760578,145.17020399756183,146.0291934275838,1343015
2025-03-18,146.39187622070312,146.88817407506647,145.55196513857263,145.55196513857263,1060902
2025-03-19,147.00271606445312,147.93806231613195,146.029184092698,146.69728855818286,1120793
2025-03-20,147.0122528076172,147.93805989592363,146.8690927686357,147.08860968293558,1916112
2025-03-21,145.3992462158203,148.51072694296138,145.1224652900952,148.12894257211772,1177327
2025-03-24,144.55934143066406,147.365379936503,144.12029307028763,147.365379936503,191587
2025-03-25,144.69296264648438,147.07906021939087,144.1202934035533,144.13938626194,818442
2025-03-26,145.9241943359375,147.46084187916344,145.14156184207022,146.02918322014244,754544
2025-03-27,145.8287353515625,146.98361300457543,145.55195443634906,146.95498099829763,568480
2025-03-28,145.8287353515625,145.8287353515625,145.8287353515625,145.8287353515625,0
2025-03-31,145.8287353515625,145.8287353515625,145.8287353515625,145.8287353515625,0
2025-04-03,146.69728088378906,147.8426048452154,145.15109426404277,146.4873031251094,1200284
2025-04-04,151.0304412841797,155.09634641499952,146.98361444867646,147.44174111720642,5435627
2025-04-07,145.0842742919922,150.80136942642872,136.58977259910168,148.4248109565017,1971965
2025-04-08,144.26345825195312,147.46083493189724,143.18495201620635,146.9836154013733,2340621
2025-04-09,143.40447998046875,145.55196803342085,141.97282127850067,144.02485959255407,987736
2025-04-10,144.15847778320312,146.93589910815328,143.80533997035957,146.93589910815328,2934385
2025-04-11,143.1563262939453,145.07474364797866,142.31641522300455,145.07474364797866,716336
2025-04-14,145.361083984375,146.98362761021218,143.16587104890797,143.16587104890797,1745894
2025-04-15,145.53286743164062,147.55628819269575,145.1224656160945,146.88816918311468,1781141
2025-04-16,144.44480895996094,146.50640089782257,143.6430836164319,145.5996866714325,1080459
2025-04-17,145.24652099609375,146.0196288246488,144.11075081194525,144.1202899591187,916312
2025-04-18,139.97804260253906,146.4109528480731,136.38934224786564,145.571056339103,9362714
2025-04-21,137.54421997070312,140.90384969729132,137.3342422025673,140.2070986650293,3660704
2025-04-22,137.62057495117188,139.24311849421258,136.8283887574953,138.29821855061613,1889245
2025-04-23,134.29913330078125,137.43923155826704,133.24924445649938,137.00973687236444,4346336
2025-04-24,131.92257690429688,133.12516495782788,131.4739893508623,132.66703825604253,1647520
2025-04-25,141.05653381347656,141.73419191342992,131.80803210990928,133.05834487338302,6914449
2025-04-28,143.73854064941406,147.92852790138107,142.6886517674966,144.73115094938422,5938523
2025-04-29,145.41835021972656,146.22007561456334,142.0205491585353,143.26132297259358,3484079
2025-04-30,140.62704467773438,144.97928437056117,140.18801087488086,144.97928437056117,3494774
2025-05-02,146.9645233154297,147.46083570758896,142.2018816964417,142.2018816964417,4361232
2025-05-05,144.89987182617188,147.47577726848428,144.62458490876497,147.47577726848428,1110494
2025-05-06,142.5697479248047,146.29597772517127,141.67507292176717,144.51643903509114,1129102
2025-05-07,138.12582397460938,141.08516595738118,136.66089246045982,137.64406434866456,1583584
2025-05-08,127.75335693359375,141.03600367804785,125.37407527492141,139.40393475106626,2473224
2025-05-09,137.6342315673828,138.13564380609708,128.3039253857343,128.79551130675245,1956686
2025-05-12,151.3986358642578,151.3986358642578,146.49260302010853,151.3986358642578,3231472
2025-05-13,155.39031982421875,156.57012308884998,151.40847067932745,152.39164256685555,10567032
2025-05-14,153.4436492919922,157.11087636585367,152.6374411138065,156.32433582670038,4540806
2025-05-15,154.8495635986328,156.57011430528428,152.489957201744,153.3748058500744,2983095
2025-05-16,155.25267028808594,155.83273807855798,153.40430241117912,153.40430241117912,1867791
2025-05-19,155.8425750732422,156.31450839457983,153.8664049219343,155.35098911502516,1438626
2025-05-20,152.204833984375,155.8425668836133,151.40846717423506,155.8425668836133,1100499
2025-05-21,154.26950073242188,155.0953614974404,149.60926069779663,152.39163887228693,3248216
2025-05-22,152.8340606689453,155.34115188007033,152.40146265579284,155.29199028730085,1288445
2025-05-23,151.4969482421875,153.31582218321518,151.39864005743672,152.44079982826952,487379
2025-05-26,150.34664916992188,153.95488833921013,150.22867333940977,152.88323454002364,777098
2025-05-27,151.14300537109375,152.04752167926267,149.96320214313482,151.99837508802386,168651
2025-05-28,151.14300537109375,151.14300537109375,151.14300537109375,151.14300537109375,0
2025-05-29,151.2118377685547,152.88322695999787,150.52362045466776,152.2441712403912,267857
2025-05-30,150.7399139404297,152.87339503625296,150.13033719732894,151.4182899093779,452399
2025-06-02,150.66127014160156,153.86640519412188,150.4253034805153,151.30032588760903,672839
2025-06-03,158.47747802734375,160.25701673307617,151.40846979689405,151.40846979689405,5945782
2025-06-04,161.31884765625,163.10821271879394,157.80891676131785,159.3230098931754,4475040
2025-06-05,158.74293518066406,162.11520746086168,157.78925727591752,161.23035878730875,964278
2025-06-06,158.74293518066406,158.74293518066406,158.74293518066406,158.74293518066406,0
2025-06-09,158.74293518066406,158.74293518066406,158.74293518066406,158.74293518066406,0
2025-06-10,160.19802856445312,161.53514292164186,158.6052949191299,160.6502792282305,774292
2025-06-11,162.38067626953125,164.08155947340853,161.2401932533537,162.22336516343515,1938183
2025-06-12,162.882080078125,166.94258465638492,161.73177080335174,162.2233567328452,3992975
2025-06-13,159.83425903320312,162.10538366574374,158.7822579252403,161.25001393251807,1918468
2025-06-16,159.83425903320312,159.83425903320312,159.83425903320312,159.83425903320312,0
2025-06-17,160.66995239257812,161.1910323068596,158.50697718208727,158.50697718208727,949307
2025-06-18,162.41017150878906,166.1068925191537,161.25002084468775,163.9439173003019,1827120
2025-06-19,163.29501342773438,165.91025422067358,162.33150918897184,163.1082083708084,1011245
2025-06-20,163.50148010253906,164.68128331093146,162.8132628144778,163.69811147026917,532303
2025-06-23,158.87074279785156,163.00990307369833,157.35666468153036,162.22336255786374,816594
2025-06-24,165.65463256835938,166.15604481767653,162.22335736637058,163.20652922919706,2138870
2025-06-25,170.67864990234375,172.54667053410154,164.18970928316216,164.18970928316216,5944985
2025-06-26,166.25436401367188,171.07190002506738,166.15604082894475,170.67863729018225,2044629
2025-06-27,170.2067108154297,173.82479112957193,167.12939303690948,167.12939303690948,3202967
2025-06-30,176.17457580566406,176.9611163289433,170.5803252738816,171.07191122567954,3441747
2025-07-01,180.69715881347656,181.69017204427945,176.18440334517504,176.97094387390607,7442615
2025-07-02,186.01611328125,189.26058342609983,181.3460469369696,181.39520853046972,6603701
2025-07-03,183.22390747070312,186.7436645113225,180.90362129316682,185.81948056743767,2102504
2025-07-04,193.39974975585938,194.1862752689867,181.19858295801362,182.6733407981461,4952704
2025-07-07,200.4884033203125,205.23712519083773,194.2747649838445,195.65119958312198,6311350
2025-07-08,200.40975952148438,203.310113669874,198.70887630936645,201.55024254318744,1801109
2025-07-09,197.45040893554688,200.4589124647874,196.7326976692539,200.2721074087083,1434607
2025-07-10,200.83251953125,201.55023078665866,196.6441978170298,197.4504059411422,2490100
2025-07-11,198.3745880126953,202.189284582359,196.88016260286184,200.86201158849062,2145453
2025-07-14,217.0745086669922,218.21499162664324,198.40408462120803,199.09230192375193,8673875
2025-07-15,214.31179809570312,228.78408909218044,212.36512201116415,217.28098131697814,11574070
2025-07-16,212.53225708007812,216.7795666743592,210.39877596515882,214.31179572880734,3070646
2025-07-17,219.68975830078125,222.1968496489932,211.38195873687408,212.61092361325126,3176593
2025-07-18,218.67709350585938,222.19685072915567,216.29781929386834,219.689759368756,2610289
2025-07-21,223.3373260498047,230.06221805397644,219.73891339770827,220.03386795971838,5321459
2025-07-22,233.2083740234375,235.4598460981928,223.76009136939788,223.76009136939788,10906148
2025-07-23,230.3276824951172,235.96125321506335,229.76726731776543,234.49632170062867,3665011
2025-07-24,224.182861328125,231.53698295562108,222.30499939454117,230.06222510240056,2710121
2025-07-25,222.67860412597656,225.0873722275074,220.23050074818525,224.06486507290677,3281185
2025-07-28,219.44395446777344,223.18001050750854,215.8258892517011,222.19683865505257,2250610
2025-07-29,212.65023803710938,221.26283325506387,210.3987810464232,219.44395928726888,1463605
2025-07-30,219.47344970703125,221.70525402572497,212.71906384179158,212.95503048848565,2784711
2025-07-31,218.20516967773438,225.5396235091455,216.20933195938971,221.7052591739051,6469386
2025-08-01,227.47647094726562,230.0622177681239,216.7893975122706,218.26415531847653,6775996
2025-08-04,234.0342254638672,240.32653443656844,229.07904583720108,229.07904583720108,9247674
2025-08-05,232.98223876953125,235.46966239551074,231.035562671376,232.00889321944754,2808951
2025-08-06,255.60504150390625,256.2834325156011,234.01457996715655,234.01457996715655,14442976
2025-08-07,262.9100036621094,270.27395165575626,256.1359348103637,257.6008813568198,10786603
2025-08-08,261.3299865722656,266.0,259.1000061035156,266.0,3172573
2025-08-11,265.6499938964844,267.5,261.0,261.0,3749318
